year,age,mid_year_population,num_week
2015,45 to 64,466008.81548701803,9
2015,45 to 64,466152.5812679712,10
2015,45 to 64,466295.1480921934,11
2015,45 to 64,466436.53099549667,12
2015,45 to 64,466576.745013693,13
2015,45 to 64,466715.8051825945,14
2015,45 to 64,466853.7265380132,15
2015,45 to 64,466990.5241157611,16
2015,45 to 64,467126.2129516504,17
2015,45 to 64,467260.8080814929,18
2015,45 to 64,467394.3245411009,19
2015,45 to 64,467526.7773662863,20
2015,45 to 64,467658.1815928612,21
2015,45 to 64,467788.55225663766,22
2015,45 to 64,467917.9043934277,23
2015,45 to 64,468046.25303904345,24
2015,45 to 64,468173.61322929687,25
2015,45 to 64,468300,26
2015,45 to 64,468425.42838696495,27
2015,45 to 64,468549.91342600377,28
2015,45 to 64,468673.47015292844,29
2015,45 to 64,468796.1136035511,30
2015,45 to 64,468917.8588136838,31
2015,45 to 64,469038.72081913846,32
2015,45 to 64,469158.71465572726,33
2015,45 to 64,469277.85535926226,34
2015,45 to 64,469396.15796555544,35
2015,45 to 64,469513.63751041883,36
2015,45 to 64,469630.30902966455,37
2015,45 to 64,469746.18755910464,38
2015,45 to 64,469861.2881345511,39
2015,45 to 64,469975.62579181604,40
2015,45 to 64,470089.2155667115,41
2015,45 to 64,470202.07249504945,42
2015,45 to 64,470314.21161264204,43
2015,45 to 64,470425.64795530133,44
2015,45 to 64,470536.3965588393,45
2015,45 to 64,470646.472459068,46
2015,45 to 64,470755.8906917995,47
2015,45 to 64,470864.6662928459,48
2015,45 to 64,470972.8142980192,49
2015,45 to 64,471080.34974313143,50
2015,45 to 64,471187.2876639947,51
2015,45 to 64,471293.64309642103,52
2015,45 to 64,471399.43107622245,53
2015,65 to 74,159910.1450467749,1
2015,65 to 74,160034.28764618747,2
2015,65 to 74,160156.95757434302,3
2015,65 to 74,160278.1670448699,4
2015,65 to 74,160397.92827139626,5
2015,65 to 74,160516.25346755047,6
2015,65 to 74,160633.15484696077,7
2015,65 to 74,160748.64462325536,8
2015,65 to 74,160862.73501006258,9
2015,65 to 74,160975.43822101064,10
2015,65 to 74,161086.76646972785,11
2015,65 to 74,161196.73196984245,12
2015,65 to 74,161305.3469349827,13
2015,65 to 74,161412.62357877684,14
2015,65 to 74,161518.57411485317,15
2015,65 to 74,161623.21075683995,16
2015,65 to 74,161726.54571836544,17
2015,65 to 74,161828.5912130579,18
2015,65 to 74,161929.35945454557,19
2015,65 to 74,162028.86265645677,20
2015,65 to 74,162127.1130324197,21
2015,65 to 74,162224.12279606267,22
2015,65 to 74,162319.90416101392,23
2015,65 to 74,162414.4693409017,24
2015,65 to 74,162507.83054935432,25
2015,65 to 74,162600,26
2015,65 to 74,162690.98990646703,27
2015,65 to 74,162780.81248238366,28
2015,65 to 74,162869.47994137814,29
2015,65 to 74,162957.00449707877,30
2015,65 to 74,163043.39836311378,31
2015,65 to 74,163128.67375311142,32
2015,65 to 74,163212.84288070002,33
2015,65 to 74,163295.9179595078,34
2015,65 to 74,163377.911203163,35
2015,65 to 74,163458.83482529392,36
2015,65 to 74,163538.7010395288,37
2015,65 to 74,163617.52205949594,38
2015,65 to 74,163695.31009882357,39
2015,65 to 74,163772.07737113995,40
2015,65 to 74,163847.83609007337,41
2015,65 to 74,163922.59846925206,42
2015,65 to 74,163996.37672230433,43
2015,65 to 74,164069.18306285838,44
2015,65 to 74,164141.0297045425,45
2015,65 to 74,164211.928860985,46
2015,65 to 74,164281.8927458141,47
2015,65 to 74,164350.93357265805,48
2015,65 to 74,164419.06355514514,49
2015,65 to 74,164486.29490690364,50
2015,65 to 74,164552.6398415618,51
2015,65 to 74,164618.11057274786,52
2015,65 to 74,164682.7193140901,53
2015,75 to 84,93081.68448351337,1
2015,75 to 84,93106.69397453724,2
2015,75 to 84,93131.6461641993,3
2015,75 to 84,93156.54551712975,4
2015,75 to 84,93181.39649795878,5
2015,75 to 84,93206.20357131655,6
2015,75 to 84,93230.9712018333,7
2015,75 to 84,93255.70385413915,8
2015,75 to 84,93280.40599286434,9
2015,75 to 84,93305.08208263904,10
2015,75 to 84,93329.73658809342,11
2015,75 to 84,93354.3739738577,12
2015,75 to 84,93378.99870456205,13
2015,75 to 84,93403.61524483665,14
2015,75 to 84,93428.22805931169,15
2015,75 to 84,93452.84161261737,16
2015,75 to 84,93477.46036938386,17
2015,75 to 84,93502.08879424137,18
2015,75 to 84,93526.73135182005,19
2015,75 to 84,93551.39250675013,20
2015,75 to 84,93576.07672366177,21
2015,75 to 84,93600.78846718515,22
2015,75 to 84,93625.53220195048,23
2015,75 to 84,93650.31239258795,24
2015,75 to 84,93675.13350372772,25
2015,75 to 84,93700,26
2015,75 to 84,93724.91634603497,27
2015,75 to 84,93749.88700646281,28
2015,75 to 84,93774.91644591371,29
2015,75 to 84,93800.00912901787,30
2015,75 to 84,93825.16952040547,31
2015,75 to 84,93850.40208470669,32
2015,75 to 84,93875.71128655173,33
2015,75 to 84,93901.10159057075,34
2015,75 to 84,93926.57746139397,35
2015,75 to 84,93952.14336365156,36
2015,75 to 84,93977.80376197372,37
2015,75 to 84,94003.56312099061,38
2015,75 to 84,94029.42590533243,39
2015,75 to 84,94055.39657962939,40
2015,75 to 84,94081.47960851165,41
2015,75 to 84,94107.67945660942,42
2015,75 to 84,94134.00058855285,43
2015,75 to 84,94160.44746897217,44
2015,75 to 84,94187.02456249754,45
2015,75 to 84,94213.73633375915,46
2015,75 to 84,94240.5872473872,47
2015,75 to 84,94267.58176801185,48
2015,75 to 84,94294.72436026332,49
2015,75 to 84,94322.01948877178,50
2015,75 to 84,94349.47161816743,51
2015,75 to 84,94377.08521308043,52
2015,75 to 84,94404.864738141,53
2015,85+,34938.28159591217,1
2015,85+,34956.24288582752,2
2015,85+,34974.25603678126,3
2015,85+,34992.319800010206,4
2015,85+,35010.43292675117,5
2015,85+,35028.59416824098,6
2015,85+,35046.802275716465,7
2015,85+,35065.05600041443,8
2015,85+,35083.35409357171,9
2015,85+,35101.69530642512,10
2015,85+,35120.078390211485,11
2015,85+,35138.50209616763,12
2015,85+,35156.965175530364,13
2015,85+,35175.46637953652,14
2015,85+,35194.00445942292,15
2015,85+,35212.57816642637,16
2015,85+,35231.186251783714,17
2015,85+,35249.82746673175,18
2015,85+,35268.50056250732,19
2015,85+,35287.20429034723,20
2015,85+,35305.937401488314,21
2015,85+,35324.69864716739,22
2015,85+,35343.48677862127,23
2015,85+,35362.30054708679,24
2015,85+,35381.13870380075,25
2015,85+,35400,26
2015,85+,35418.88318692134,27
2015,85+,35437.7870158016,28
2015,85+,35456.7102378776,29
2015,85+,35475.65160438616,30
2015,85+,35494.609866564104,31
2015,85+,35513.58377564826,32
2015,85+,35532.57208287543,33
2015,85+,35551.57353948245,34
2015,85+,35570.58689670614,35
2015,85+,35589.61090578332,36
2015,85+,35608.644317950806,37
2015,85+,35627.68588444543,38
2015,85+,35646.734356504014,39
2015,85+,35665.788485363366,40
2015,85+,35684.847022260314,41
2015,85+,35703.90871843169,42
2015,85+,35722.97232511429,43
2015,85+,35742.036593544966,44
2015,85+,35761.100274960525,45
2015,85+,35780.16212059778,46
2015,85+,35799.22088169357,47
2015,85+,35818.2753094847,48
2015,85+,35837.324155208,49
2015,85+,35856.36617010029,50
2015,85+,35875.400105398396,51
2015,85+,35894.42471233913,52
2015,85+,35913.43874215933,53
2016,0 to 14,363742.75719029584,1
2016,0 to 14,363813.8291522687,2
2016,0 to 14,363885.3171819432,3
2016,0 to 14,363957.2019851672,4
2016,0 to 14,364029.46426778845,5
2016,0 to 14,364102.0847356547,6
2016,0 to 14,364175.04409461375,7
2016,0 to 14,364248.3230505134,8
2016,0 to 14,364321.9023092013,9
2016,0 to 14,364395.76257652533,10
2016,0 to 14,364469.88455833326,11
2016,0 to 14,364544.2489604728,12
2016,0 to 14,364618.83648879174,13
2016,0 to 14,364693.6278491379,14
