Country,WeekEnding,Deaths,Gender,Year
EW,07/01/2013,12014.71429,All,2013
EW,14/01/2013,11676.86762,All,2013
EW,21/01/2013,11049.70636,All,2013
EW,28/01/2013,11352.96876,All,2013
EW,04/02/2013,11193.59643,All,2013
EW,11/02/2013,11022.42976,All,2013
EW,18/02/2013,10979.38422,All,2013
EW,25/02/2013,10755.09749,All,2013
EW,04/03/2013,10990.66606,All,2013
EW,11/03/2013,11225.45984,All,2013
EW,18/03/2013,11308.87067,All,2013
EW,25/03/2013,10208.56186,All,2013
EW,01/04/2013,9643.864417,All,2013
EW,08/04/2013,11643.52858,All,2013
EW,15/04/2013,12158.40027,All,2013
EW,22/04/2013,11223.29016,All,2013
EW,29/04/2013,10478.67524,All,2013
EW,06/05/2013,9493.871863,All,2013
EW,13/05/2013,9095.784833,All,2013
EW,20/05/2013,10002.58064,All,2013
EW,27/05/2013,8839.583561,All,2013
EW,03/06/2013,8761.557418,All,2013
EW,10/06/2013,9365.796095,All,2013
EW,17/06/2013,8813.211553,All,2013
EW,24/06/2013,8778.716294,All,2013
EW,01/07/2013,8661.235224,All,2013
EW,08/07/2013,8687.427358,All,2013
EW,15/07/2013,8623.201117,All,2013
EW,22/07/2013,8729.584501,All,2013
EW,29/07/2013,8284.253882,All,2013
EW,05/08/2013,8208.17548,All,2013
EW,12/08/2013,8216.531077,All,2013
EW,19/08/2013,8479.230823,All,2013
EW,26/08/2013,8123.947962,All,2013
EW,02/09/2013,8142.586657,All,2013
EW,09/09/2013,8816.740396,All,2013
EW,16/09/2013,8320.994033,All,2013
EW,23/09/2013,8897.97152,All,2013
EW,30/09/2013,9239.45225,All,2013
EW,07/10/2013,9053.811317,All,2013
EW,14/10/2013,9032.859335,All,2013
EW,21/10/2013,9294.124522,All,2013
EW,28/10/2013,9144.205259,All,2013
EW,04/11/2013,9226.532577,All,2013
EW,11/11/2013,9542.603208,All,2013
EW,18/11/2013,9592.582287,All,2013
EW,25/11/2013,9574.639072,All,2013
EW,02/12/2013,9782.811861,All,2013
EW,09/12/2013,9839.579957,All,2013
EW,16/12/2013,10614.80125,All,2013
EW,23/12/2013,8391.503654,All,2013
EW,30/12/2013,8162.872176,All,2013
EW,07/01/2014,13978.59005,All,2014
EW,14/01/2014,11352.7084,All,2014
EW,21/01/2014,10626.20765,All,2014
EW,28/01/2014,10267.36771,All,2014
EW,04/02/2014,10196.48768,All,2014
EW,11/02/2014,10144.73112,All,2014
EW,18/02/2014,10327.41001,All,2014
EW,25/02/2014,10480.72507,All,2014
EW,04/03/2014,10025.19117,All,2014
EW,11/03/2014,9894.40822,All,2014
EW,18/03/2014,9963.875663,All,2014
EW,25/03/2014,9652.49146,All,2014
EW,01/04/2014,9794.511266,All,2014
EW,08/04/2014,9905.160268,All,2014
EW,15/04/2014,8481.763114,All,2014
EW,22/04/2014,8485.664827,All,2014
EW,29/04/2014,10424.73501,All,2014
EW,06/05/2014,9383.864513,All,2014
EW,13/05/2014,8921.976033,All,2014
EW,20/05/2014,9708.208031,All,2014
EW,27/05/2014,8349.55919,All,2014
EW,03/06/2014,8824.29865,All,2014
EW,10/06/2014,9688.668952,All,2014
EW,17/06/2014,9080.95557,All,2014
EW,24/06/2014,8925.879029,All,2014
EW,01/07/2014,8847.210529,All,2014
EW,08/07/2014,8718.500431,All,2014
EW,15/07/2014,9002.25422,All,2014
EW,22/07/2014,9058.529336,All,2014
EW,29/07/2014,8930.727563,All,2014
EW,05/08/2014,8827.927761,All,2014
EW,12/08/2014,8729.689674,All,2014
EW,19/08/2014,8914.561358,All,2014
EW,26/08/2014,8146.327285,All,2014
EW,02/09/2014,8958.733002,All,2014
EW,09/09/2014,9626.169281,All,2014
EW,16/09/2014,9115.041771,All,2014
EW,23/09/2014,9049.354598,All,2014
EW,30/09/2014,9189.16083,All,2014
EW,07/10/2014,9208.87672,All,2014
EW,14/10/2014,9312.647161,All,2014
EW,21/10/2014,9578.508397,All,2014
EW,28/10/2014,9592.817794,All,2014
