Country,WeekEnding,Deaths,Gender,Year
S,12/05/2020,1435,All,2020
S,13/05/2021,1076,All,2021
S,13/05/2022,1244,All,2022
S,20/05/2013,1075,All,2013
S,20/05/2014,997,All,2014
S,20/05/2015,1103,All,2015
S,19/05/2016,1010,All,2016
S,20/05/2017,1115,All,2017
S,20/05/2018,977,All,2018
S,20/05/2019,1115,All,2019
S,19/05/2020,1421,All,2020
S,20/05/2021,1042,All,2021
S,20/05/2022,1214,All,2022
S,27/05/2013,993,All,2013
S,27/05/2014,1009,All,2014
S,27/05/2015,1039,All,2015
S,26/05/2016,994,All,2016
S,27/05/2017,1063,All,2017
S,27/05/2018,1070,All,2018
S,27/05/2019,1061,All,2019
S,26/05/2020,1226,All,2020
S,27/05/2021,1098,All,2021
S,27/05/2022,1100,All,2022
S,03/06/2013,954,All,2013
S,03/06/2014,938,All,2014
S,03/06/2015,1043,All,2015
S,02/06/2016,999,All,2016
S,03/06/2017,1015,All,2017
S,03/06/2018,998,All,2018
S,03/06/2019,1029,All,2019
S,02/06/2020,1128,All,2020
S,03/06/2021,1055,All,2021
S,03/06/2022,848,All,2022
S,10/06/2013,983,All,2013
S,10/06/2014,965,All,2014
S,10/06/2015,1106,All,2015
S,09/06/2016,1023,All,2016
S,10/06/2017,1076,All,2017
S,10/06/2018,1033,All,2018
S,10/06/2019,1042,All,2019
S,09/06/2020,1093,All,2020
S,10/06/2021,1150,All,2021
S,10/06/2022,1207,All,2022
S,17/06/2013,941,All,2013
S,17/06/2014,1006,All,2014
S,17/06/2015,1038,All,2015
S,16/06/2016,988,All,2016
S,17/06/2017,1031,All,2017
S,17/06/2018,915,All,2018
S,17/06/2019,1028,All,2019
S,16/06/2020,1034,All,2020
S,17/06/2021,1054,All,2021
S,17/06/2022,1186,All,2022
S,24/06/2013,1010,All,2013
S,24/06/2014,965,All,2014
S,24/06/2015,1025,All,2015
S,23/06/2016,994,All,2016
S,24/06/2017,1032,All,2017
S,24/06/2018,993,All,2018
S,24/06/2019,1053,All,2019
S,23/06/2020,1065,All,2020
S,24/06/2021,1055,All,2021
S,24/06/2022,1136,All,2022
S,01/07/2013,972,All,2013
S,01/07/2014,924,All,2014
S,01/07/2015,1032,All,2015
S,30/06/2016,1007,All,2016
S,01/07/2017,994,All,2017
S,01/07/2018,1046,All,2018
S,01/07/2019,1051,All,2019
S,30/06/2020,1008,All,2020
S,01/07/2021,1095,All,2021
S,01/07/2022,1137,All,2022
S,08/07/2013,952,All,2013
S,08/07/2014,967,All,2014
S,08/07/2015,1040,All,2015
S,07/07/2016,988,All,2016
S,08/07/2017,1040,All,2017
S,08/07/2018,1041,All,2018
S,08/07/2019,981,All,2019
S,07/07/2020,983,All,2020
S,08/07/2021,1087,All,2021
S,08/07/2022,1102,All,2022
S,15/07/2013,944,All,2013
S,15/07/2014,972,All,2014
S,15/07/2015,1011,All,2015
S,14/07/2016,1022,All,2016
S,15/07/2017,1014,All,2017
S,15/07/2018,1002,All,2018
S,15/07/2019,1077,All,2019
S,14/07/2020,977,All,2020
S,15/07/2021,1127,All,2021
S,15/07/2022,1184,All,2022
S,22/07/2013,874,All,2013
S,22/07/2014,950,All,2014
S,22/07/2015,1023,All,2015
S,21/07/2016,1041,All,2016
S,22/07/2017,1025,All,2017
S,22/07/2018,928,All,2018
S,22/07/2019,964,All,2019
S,21/07/2020,1033,All,2020
S,22/07/2021,1126,All,2021
S,22/07/2022,1138,All,2022
S,29/07/2013,936,All,2013
S,29/07/2014,957,All,2014
S,29/07/2015,956,All,2015
S,28/07/2016,979,All,2016
S,29/07/2017,978,All,2017
S,29/07/2018,933,All,2018
S,29/07/2019,1041,All,2019
S,28/07/2020,962,All,2020
S,29/07/2021,1155,All,2021
S,29/07/2022,1183,All,2022
