year,mid_year_population,num_week
2018,5448171.487328647,46
2018,5448723.825402098,47
2018,5449276.670858231,48
2018,5449829.4595906995,49
2018,5450381.627493152,50
2018,5450932.610459241,51
2018,5451481.844382619,52
2019,5452028.765156934,1
2019,5452572.8086758405,2
2019,5453113.410832988,3
2019,5453650.007522029,4
2019,5454182.034636614,5
2019,5454708.928070394,6
2019,5455230.123717021,7
2019,5455745.057470146,8
2019,5456253.16522342,9
2019,5456753.882870494,10
2019,5457246.646305021,11
2019,5457730.89142065,12
2019,5458206.054111034,13
2019,5458671.570269823,14
2019,5459126.87579067,15
2019,5459571.406567224,16
2019,5460004.598493137,17
2019,5460425.887462063,18
2019,5460834.70936765,19
2019,5461230.500103549,20
2019,5461612.695563414,21
2019,5461980.731640894,22
2019,5462334.044229642,23
2019,5462672.069223308,24
2019,5462994.2425155435,25
2019,5463300,26
2019,5463588.944087794,27
2019,5463861.343259906,28
2019,5464117.632514779,29
2019,5464358.246850859,30
2019,5464583.621266591,31
2019,5464794.190760419,32
2019,5464990.390330788,33
2019,5465172.654976143,34
2019,5465341.419694928,35
2019,5465497.11948559,36
2019,5465640.189346571,37
2019,5465771.064276318,38
2019,5465890.179273274,39
2019,5465997.969335886,40
2019,5466094.869462596,41
2019,5466181.314651852,42
2019,5466257.739902096,43
2019,5466324.580211774,44
2019,5466382.270579332,45
2019,5466431.246003212,46
2019,5466471.941481862,47
2019,5466504.792013724,48
2019,5466530.232597245,49
2019,5466548.698230868,50
2019,5466560.623913039,51
2019,5466566.444642203,52
2020,5466566.595416804,1
2020,5466561.5112352865,2
2020,5466551.627096096,3
2020,5466537.377997678,4
2020,5466519.198938476,5
2020,5466497.524916935,6
2020,5466472.7909315005,7
2020,5466445.431980616,8
2020,5466415.883062729,9
2020,5466384.579176282,10
2020,5466351.955319719,11
2020,5466318.446491487,12
2020,5466284.487690031,13
2020,5466250.5139137935,14
2020,5466216.96016122,15
2020,5466184.261430757,16
2020,5466152.852720848,17
2020,5466123.169029938,18
2020,5466095.645356473,19
2020,5466070.716698894,20
2020,5466048.81805565,21
2020,5466030.384425185,22
2020,5466015.850805942,23
2020,5466005.652196367,24
2020,5466000.223594905,25
2020,5466000,26
2020,5466005.383169919,27
2020,5466016.641902214,28
2020,5466034.0117542595,29
2020,5466057.728283429,30
2020,5466088.027047095,31
2020,5466125.143602634,32
2020,5466169.313507417,33
2020,5466220.7723188205,34
2020,5466279.755594216,35
2020,5466346.498890979,36
2020,5466421.237766484,37
