year,num_week,true_death,fit_death,lower,upper,excess_death
2015,26,1032,1014.1879704359856,781.999,1279.0020000000004,17.812029564014438
2015,27,1040,1003.4000775990199,788.998,1253.010000000002,36.59992240098006
2015,28,1011,998.6078420355303,800.998,1238.0020000000004,12.392157964469675
2015,29,1023,993.8375891353652,772.999,1217.0060000000012,29.162410864634808
2015,30,956,989.0892282340949,779.992,1222.0020000000004,-33.08922823409489
2015,31,985,984.362668954106,786.999,1231.0110000000022,0.6373310458940296
2015,32,1043,995.2518873694025,776,1229.0010000000002,47.74811263059746
2015,33,969,990.4941143611452,782.998,1246.0020000000004,-21.494114361145193
2015,34,982,985.7582163077022,779.9949999999999,1221.0010000000002,-3.7582163077022415
2015,35,954,981.044102556863,784,1203.0040000000008,-27.04410255686298
2015,36,977,958.215608211091,756.9979999999999,1184.0130000000026,18.784391788909033
2015,37,991,1014.4505412958152,808.995,1252.0040000000008,-23.450541295815242
2015,38,1001,1009.5965949633149,797.99,1243.0010000000002,-8.596594963314942
2015,39,1010,1004.7650162573162,789.995,1244.0110000000022,5.234983742683767
2015,40,1008,1061.659348814476,829,1303.0060000000012,-53.65934881447606
2015,41,1028,1056.576830328712,840.9970000000001,1308,-28.57683032871205
2015,42,989,1051.517764034781,836.9979999999999,1290.0080000000016,-62.51776403478107
2015,43,981,1046.4820520207052,834.996,1269.0080000000016,-65.48205202070517
2015,44,1116,1041.469596694689,838,1276.0130000000026,74.53040330531098
2015,45,1028,1110.0856930218001,883.988,1359.0010000000002,-82.08569302180013
2015,46,1103,1104.766783735892,890,1337.0110000000022,-1.766783735891977
2015,47,1054,1099.472471193804,887.999,1351,-45.47247119380404
2015,48,1115,1094.2026522419367,861.999,1335.0030000000006,20.797347758063324
2015,49,1089,1191.5458710346745,958.995,1468,-102.54587103467452
2015,50,1101,1185.8328572328207,958.994,1418.0090000000018,-84.83285723282074
2015,51,1146,1180.1463081421596,948.998,1426,-34.14630814215957
2015,52,944,1104.0725705962334,877.996,1344,-160.0725705962334
2015,53,1018,1021.2775048050784,809.995,1281.0010000000002,-3.2775048050783653
2016,1,1394,1402.4705262609762,1151.995,1670.005000000001,-8.470526260976158
2016,2,1305,1395.7408047494637,1144,1692.005000000001,-90.74080474946368
2016,3,1215,1389.0423235834753,1142.9979999999998,1683,-174.0423235834753
2016,4,1187,1382.3749507150442,1116.998,1662.0020000000004,-195.37495071504418
2016,5,1205,1267.8757679069063,1039.989,1549.0110000000022,-62.875767906906276
2016,6,1217,1261.788115892737,1020.998,1548.0020000000004,-44.788115892737096
2016,7,1209,1255.7287705542149,1028.9979999999998,1521.0010000000002,-46.72877055421486
2016,8,1239,1249.6976118372868,1004.996,1512.0130000000026,-10.697611837286786
2016,9,1150,1166.820480703228,940.999,1407.005000000001,-16.820480703227986
2016,10,1174,1161.2146665081377,909.991,1414.0010000000002,12.785333491862275
2016,11,1175,1155.6349610903453,930.984,1401.0020000000004,19.365038909654686
2016,12,1042,1081.1308472624055,869.9889999999999,1329.0060000000012,-39.130847262405496
2016,13,1172,1060.1322468796577,833.999,1306.0160000000033,111.86775312034229
2016,14,1166,1122.322206277587,886.999,1375,43.67779372241307
2016,15,1048,1116.9262600059799,899.992,1380.0010000000002,-68.92626000597988
2016,16,1092,1111.5554954584256,891.989,1366.0030000000006,-19.55549545842564
2016,17,1076,1106.209805039713,884.9989999999999,1362.0030000000006,-30.209805039713046
2016,18,1006,1015.9660831136262,793,1261.0010000000002,-9.966083113626155
2016,19,1047,1075.5614944511283,852.982,1300.005000000001,-28.561494451128283
2016,20,1010,1070.3867610567618,829.998,1316,-60.38676105676177
2016,21,994,1065.2362244860856,830.998,1309.0030000000006,-71.23622448608558
2016,22,999,977.1804719226157,765.992,1246.005000000001,21.819528077384348
2016,23,1023,1034.4980565380713,807.995,1263.005000000001,-11.498056538071296
2016,24,988,1029.5182160920058,817.9929999999999,1278.0040000000008,-41.51821609200579
2016,25,994,1024.5616970905699,825,1260.0090000000018,-30.56169709056985
2016,26,1007,1013.6227713013059,805.998,1257.0080000000016,-6.622771301305875
2016,27,988,1008.7415129676107,804,1245.0040000000008,-20.741512967610674
2016,28,1022,1003.883125456784,797.998,1224,18.116874543216
2016,29,1041,999.0474953171978,782.9970000000001,1224.0060000000012,41.952504682802214
2016,30,979,994.2345097391302,790.9979999999999,1232.0190000000039,-15.234509739130203
2016,31,987,1005.1938987407689,797,1245.0070000000014,-18.193898740768873
2016,32,997,1000.3499694828222,794.9979999999999,1243.005000000001,-3.349969482822189
2016,33,982,995.528705293711,782.995,1234.0040000000008,-13.528705293711027
2016,34,1017,990.7299941342862,787.999,1232,26.270005865713756
2016,35,1039,967.6392887695524,762.999,1193,71.36071123044758
2016,36,1007,1024.3884467912906,814.999,1257.0010000000002,-17.388446791290562
2016,37,983,1019.4484566517452,796.994,1269.0010000000002,-36.44845665174523
2016,38,966,1014.531550903865,820.984,1242.0090000000018,-48.53155090386497
2016,39,1009,1009.6376158290849,793.999,1245.0040000000008,-0.6376158290848934
2016,40,1072,1066.7670337364425,848.996,1303.0020000000004,5.2329662635575005
2016,41,1009,1061.619528412047,850.997,1296.0010000000002,-52.619528412046975
2016,42,1070,1056.4960530358715,835.9970000000001,1307.005000000001,13.503946964128545
2016,43,1052,1051.3964895546285,844.985,1290.0030000000006,0.6035104453715121
2016,44,1032,1120.6249277895909,891,1371.0030000000006,-88.62492778959086
2016,45,1043,1115.2140635648916,894.997,1356.0090000000018,-72.2140635648916
2016,46,1174,1109.8284342435938,889.999,1357.0070000000014,64.17156575640615
