"","WeekEnding","CumulativeDeaths","Deaths","Gender","Year"
"1",2013-01-07,17291.9512899371,12014.7142857143,"All",2013
"2",2013-01-14,28968.8189080259,11676.8676180888,"All",2013
"3",2013-01-21,40018.525264548,11049.7063565221,"All",2013
"4",2013-01-28,51371.4940279511,11352.9687634031,"All",2013
"5",2013-02-04,62565.0904603822,11193.596432431,"All",2013
"6",2013-02-11,73587.5202238146,11022.4297634325,"All",2013
"7",2013-02-18,84566.9044461085,10979.3842222939,"All",2013
"8",2013-02-25,95322.0019334422,10755.0974873336,"All",2013
"9",2013-03-04,106312.66799505,10990.6660616078,"All",2013
"10",2013-03-11,117538.127835629,11225.4598405791,"All",2013
"11",2013-03-18,128846.998504999,11308.8706693701,"All",2013
"12",2013-03-25,139055.560360118,10208.5618551185,"All",2013
"13",2013-04-01,148699.424777562,9643.86441744474,"All",2013
"14",2013-04-08,160342.953357621,11643.5285800588,"All",2013
"15",2013-04-15,172501.353628688,12158.4002710663,"All",2013
"16",2013-04-22,183724.643789436,11223.2901607489,"All",2013
"17",2013-04-29,194203.319026978,10478.6752375417,"All",2013
"18",2013-05-06,203697.190889823,9493.87186284526,"All",2013
"19",2013-05-13,212792.975722767,9095.78483294317,"All",2013
"20",2013-05-20,222795.556364883,10002.5806421167,"All",2013
"21",2013-05-27,231635.139925572,8839.58356068903,"All",2013
"22",2013-06-03,240396.697343906,8761.55741833415,"All",2013
"23",2013-06-10,249762.493439327,9365.7960954204,"All",2013
"24",2013-06-17,258575.704992081,8813.2115527539,"All",2013
"25",2013-06-24,267354.421286228,8778.7162941471,"All",2013
"26",2013-07-01,276015.656510238,8661.23522401042,"All",2013
"27",2013-07-08,284703.083868154,8687.42735791614,"All",2013
"28",2013-07-15,293326.284985074,8623.20111691975,"All",2013
"29",2013-07-22,302055.86948601,8729.58450093551,"All",2013
"30",2013-07-29,310340.123368263,8284.25388225378,"All",2013
"31",2013-08-05,318548.298848517,8208.17548025341,"All",2013
"32",2013-08-12,326764.829925716,8216.53107719915,"All",2013
"33",2013-08-19,335244.060748911,8479.2308231949,"All",2013
"34",2013-08-26,343368.008711293,8123.94796238258,"All",2013
"35",2013-09-02,351510.595368014,8142.58665672084,"All",2013
"36",2013-09-09,360327.335764171,8816.74039615697,"All",2013
"37",2013-09-16,368648.329796875,8320.99403270381,"All",2013
"38",2013-09-23,377546.30131655,8897.97151967493,"All",2013
"39",2013-09-30,386785.753566662,9239.45225011249,"All",2013
"40",2013-10-07,395839.564883272,9053.81131660979,"All",2013
"41",2013-10-14,404872.424218033,9032.85933476023,"All",2013
"42",2013-10-21,414166.548740224,9294.12452219188,"All",2013
"43",2013-10-28,423310.753998913,9144.20525868819,"All",2013
"44",2013-11-04,432537.286576079,9226.53257716616,"All",2013
"45",2013-11-11,442079.889784236,9542.60320815723,"All",2013
"46",2013-11-18,451672.472071234,9592.58228699805,"All",2013
"47",2013-11-25,461247.111143656,9574.63907242194,"All",2013
"48",2013-12-02,471029.923004288,9782.81186063192,"All",2013
"49",2013-12-09,480869.502961641,9839.57995735353,"All",2013
"50",2013-12-16,491484.304216202,10614.8012545605,"All",2013
"51",2013-12-23,499875.807870344,8391.5036541422,"All",2013
"52",2013-12-31,509741.976085347,9866.16821500257,"All",2013
"53",2014-01-07,522017.270099223,12275.2940138766,"All",2014
"54",2014-01-14,533369.978503183,11352.7084039598,"All",2014
"55",2014-01-21,543996.186150435,10626.2076472522,"All",2014
"56",2014-01-28,554263.553863006,10267.3677125706,"All",2014
"57",2014-02-04,564460.04154623,10196.4876832237,"All",2014
"58",2014-02-11,574604.772663447,10144.7311172171,"All",2014
"59",2014-02-18,584932.182668789,10327.4100053422,"All",2014
"60",2014-02-25,595412.907740115,10480.7250713266,"All",2014
"61",2014-03-04,605438.098907193,10025.1911670775,"All",2014
"62",2014-03-11,615332.50712674,9894.40821954701,"All",2014
"63",2014-03-18,625296.382789929,9963.8756631891,"All",2014
"64",2014-03-25,634948.874249987,9652.49146005779,"All",2014
"65",2014-04-01,644743.385516246,9794.51126625913,"All",2014
"66",2014-04-08,654648.545784155,9905.16026790871,"All",2014
"67",2014-04-15,663130.308898156,8481.7631140009,"All",2014
"68",2014-04-22,671615.973725264,8485.66482710803,"All",2014
"69",2014-04-29,682040.708737233,10424.7350119695,"All",2014
"70",2014-05-06,691424.573250002,9383.86451276927,"All",2014
"71",2014-05-13,700346.549283166,8921.97603316337,"All",2014
"72",2014-05-20,710054.757314128,9708.20803096204,"All",2014
"73",2014-05-27,718404.316504055,8349.5591899273,"All",2014
"74",2014-06-03,727228.615153617,8824.29864956217,"All",2014
