"","Date","All","Female","Male","Year","WeekNumber","Nation"
"72",2014-05-20,57356883.8356164,29089938.0821918,28266945.7534247,2014,20,"EW"
"73",2014-05-27,57365713.4246575,29094063.2876712,28271650.1369863,2014,21,"EW"
"74",2014-06-03,57374543.0136986,29098188.4931507,28276354.5205479,2014,22,"EW"
"75",2014-06-10,57383372.6027397,29102313.6986301,28281058.9041096,2014,23,"EW"
"76",2014-06-17,57392202.1917808,29106438.9041096,28285763.2876712,2014,24,"EW"
"77",2014-06-24,57401031.7808219,29110564.109589,28290467.6712329,2014,25,"EW"
"78",2014-07-01,57409906.3013699,29114693.1506849,28295213.1506849,2014,26,"EW"
"79",2014-07-08,57419050.4109589,29118845.2054795,28300205.2054795,2014,27,"EW"
"80",2014-07-15,57428194.5205479,29122997.260274,28305197.260274,2014,28,"EW"
"81",2014-07-22,57437338.630137,29127149.3150685,28310189.3150685,2014,29,"EW"
"82",2014-07-29,57446482.739726,29131301.369863,28315181.369863,2014,30,"EW"
"83",2014-08-05,57455626.8493151,29135453.4246575,28320173.4246575,2014,31,"EW"
"84",2014-08-12,57464770.9589041,29139605.4794521,28325165.4794521,2014,32,"EW"
"85",2014-08-19,57473915.0684932,29143757.5342466,28330157.5342466,2014,33,"EW"
"86",2014-08-26,57483059.1780822,29147909.5890411,28335149.5890411,2014,34,"EW"
"87",2014-09-02,57492203.2876712,29152061.6438356,28340141.6438356,2014,35,"EW"
"88",2014-09-09,57501347.3972603,29156213.6986301,28345133.6986301,2014,36,"EW"
"89",2014-09-16,57510491.5068493,29160365.7534247,28350125.7534247,2014,37,"EW"
"90",2014-09-23,57519635.6164384,29164517.8082192,28355117.8082192,2014,38,"EW"
"91",2014-09-30,57528779.7260274,29168669.8630137,28360109.8630137,2014,39,"EW"
"92",2014-10-07,57537923.8356164,29172821.9178082,28365101.9178082,2014,40,"EW"
"93",2014-10-14,57547067.9452055,29176973.9726027,28370093.9726027,2014,41,"EW"
"94",2014-10-21,57556212.0547945,29181126.0273973,28375086.0273973,2014,42,"EW"
"95",2014-10-28,57565356.1643836,29185278.0821918,28380078.0821918,2014,43,"EW"
"96",2014-11-04,57574500.2739726,29189430.1369863,28385070.1369863,2014,44,"EW"
"97",2014-11-11,57583644.3835616,29193582.1917808,28390062.1917808,2014,45,"EW"
"98",2014-11-18,57592788.4931507,29197734.2465753,28395054.2465753,2014,46,"EW"
"99",2014-11-25,57601932.6027397,29201886.3013699,28400046.3013699,2014,47,"EW"
"100",2014-12-02,57611076.7123288,29206038.3561644,28405038.3561644,2014,48,"EW"
"101",2014-12-09,57620220.8219178,29210190.4109589,28410030.4109589,2014,49,"EW"
"102",2014-12-16,57629364.9315068,29214342.4657534,28415022.4657534,2014,50,"EW"
"103",2014-12-23,57638509.0410959,29218494.5205479,28420014.5205479,2014,51,"EW"
"104",2014-12-31,57648959.4520548,29223239.7260274,28425719.7260274,2014,52,"EW"
"105",2015-01-07,57658103.5616438,29227391.7808219,28430711.7808219,2015,1,"EW"
"106",2015-01-14,57667247.6712329,29231543.8356164,28435703.8356164,2015,2,"EW"
"107",2015-01-21,57676391.7808219,29235695.890411,28440695.890411,2015,3,"EW"
"108",2015-01-28,57685535.890411,29239847.9452055,28445687.9452055,2015,4,"EW"
"109",2015-02-04,57694680,29244000,28450680,2015,5,"EW"
"110",2015-02-11,57703824.109589,29248152.0547945,28455672.0547945,2015,6,"EW"
"111",2015-02-18,57712968.2191781,29252304.109589,28460664.109589,2015,7,"EW"
"112",2015-02-25,57722112.3287671,29256456.1643836,28465656.1643836,2015,8,"EW"
"113",2015-03-04,57731256.4383562,29260608.2191781,28470648.2191781,2015,9,"EW"
"114",2015-03-11,57740400.5479452,29264760.2739726,28475640.2739726,2015,10,"EW"
"115",2015-03-18,57749544.6575342,29268912.3287671,28480632.3287671,2015,11,"EW"
"116",2015-03-25,57758688.7671233,29273064.3835616,28485624.3835616,2015,12,"EW"
"117",2015-04-01,57767832.8767123,29277216.4383562,28490616.4383562,2015,13,"EW"
"118",2015-04-08,57776976.9863014,29281368.4931507,28495608.4931507,2015,14,"EW"
"119",2015-04-15,57786121.0958904,29285520.5479452,28500600.5479452,2015,15,"EW"
"120",2015-04-22,57795265.2054795,29289672.6027397,28505592.6027397,2015,16,"EW"
"121",2015-04-29,57804409.3150685,29293824.6575342,28510584.6575342,2015,17,"EW"
"122",2015-05-06,57813553.4246575,29297976.7123288,28515576.7123288,2015,18,"EW"
"123",2015-05-13,57822697.5342466,29302128.7671233,28520568.7671233,2015,19,"EW"
"124",2015-05-20,57831841.6438356,29306280.8219178,28525560.8219178,2015,20,"EW"
"125",2015-05-27,57840985.7534247,29310432.8767123,28530552.8767123,2015,21,"EW"
"126",2015-06-03,57850129.8630137,29314584.9315068,28535544.9315068,2015,22,"EW"
"127",2015-06-10,57859273.9726027,29318736.9863014,28540536.9863014,2015,23,"EW"
"128",2015-06-17,57868418.0821918,29322889.0410959,28545529.0410959,2015,24,"EW"
"129",2015-06-24,57877562.1917808,29327041.0958904,28550521.0958904,2015,25,"EW"
"130",2015-07-01,57886754.9180328,29331189.3442623,28555565.5737705,2015,26,"EW"
