"","WeekEnding","Deaths","Gender","WeekNumber","Year"
"1",2013-01-07,354.714285714286,"All",1,2013
"2",2013-01-14,378.749749383992,"All",2,2013
"3",2013-01-21,335.958379847648,"All",3,2013
"4",2013-01-28,290.725769126292,"All",4,2013
"5",2013-02-04,296.94029291832,"All",5,2013
"6",2013-02-11,327.68798631413,"All",6,2013
"7",2013-02-18,337.176566489883,"All",7,2013
"8",2013-02-25,317.906039271526,"All",8,2013
"9",2013-03-04,329.968955724305,"All",9,2013
"10",2013-03-11,346.133589726301,"All",10,2013
"11",2013-03-18,319.441291784487,"All",11,2013
"12",2013-03-25,324.626024476858,"All",12,2013
"13",2013-04-01,302.844697771636,"All",13,2013
"14",2013-04-08,328.333376856425,"All",14,2013
"15",2013-04-15,378.664360400332,"All",15,2013
"16",2013-04-22,309.332796702594,"All",16,2013
"17",2013-04-29,295.016114596872,"All",17,2013
"18",2013-05-06,278.894290099419,"All",18,2013
"19",2013-05-13,263.794480107494,"All",19,2013
"20",2013-05-20,290.659567896263,"All",20,2013
"21",2013-05-27,289.162000494045,"All",21,2013
"22",2013-06-03,249.438785812688,"All",22,2013
"23",2013-06-10,292.517258587563,"All",23,2013
"24",2013-06-17,272.909089458051,"All",24,2013
"25",2013-06-24,230.878453551077,"All",25,2013
"26",2013-07-01,244.778262518401,"All",26,2013
"27",2013-07-08,254.08429812459,"All",27,2013
"28",2013-07-15,244.348101834556,"All",28,2013
"29",2013-07-22,276.677813487624,"All",29,2013
"30",2013-07-29,284.229273952555,"All",30,2013
"31",2013-08-05,249.632495949973,"All",31,2013
"32",2013-08-12,244.847156241722,"All",32,2013
"33",2013-08-19,260.322902406757,"All",33,2013
"34",2013-08-26,251.418085443203,"All",34,2013
"35",2013-09-02,240.144697511394,"All",35,2013
"36",2013-09-09,269.909830050578,"All",36,2013
"37",2013-09-16,242.769918146356,"All",37,2013
"38",2013-09-23,274.112538180325,"All",38,2013
"39",2013-09-30,302.937363534675,"All",39,2013
"40",2013-10-07,257.04762867223,"All",40,2013
"41",2013-10-14,269.39398766562,"All",41,2013
"42",2013-10-21,289.974088303776,"All",42,2013
"43",2013-10-28,261.721320926858,"All",43,2013
"44",2013-11-04,282.368033236609,"All",44,2013
"45",2013-11-11,289.036866826413,"All",45,2013
"46",2013-11-18,260.612779341121,"All",46,2013
"47",2013-11-25,283.544085779944,"All",47,2013
"48",2013-12-02,280.14965304931,"All",48,2013
"49",2013-12-09,248.19549444264,"All",49,2013
"50",2013-12-16,287.561080550395,"All",50,2013
"51",2013-12-23,236.391087145872,"All",51,2013
"52",2013-12-31,247.176510736475,"All",53,2013
"53",2014-01-07,364.753507813712,"All",1,2014
"54",2014-01-14,354.204985189101,"All",2,2014
"55",2014-01-21,338.248708864285,"All",3,2014
"56",2014-01-28,352.698138537435,"All",4,2014
"57",2014-02-04,300.326083924756,"All",5,2014
"58",2014-02-11,280.5485461717,"All",6,2014
"59",2014-02-18,324.497224099814,"All",7,2014
"60",2014-02-25,303.310953930497,"All",8,2014
"61",2014-03-04,296.38724006158,"All",9,2014
"62",2014-03-11,335.944750546216,"All",10,2014
"63",2014-03-18,282.807518686503,"All",11,2014
"64",2014-03-25,282.973862754425,"All",12,2014
"65",2014-04-01,296.670208138374,"All",13,2014
"66",2014-04-08,309.321981076919,"All",14,2014
"67",2014-04-15,280.607465221587,"All",15,2014
"68",2014-04-22,233.819586608162,"All",16,2014
"69",2014-04-29,296.396987179585,"All",17,2014
"70",2014-05-06,280.219286830921,"All",18,2014
"71",2014-05-13,243.507206604601,"All",19,2014
"72",2014-05-20,246.431187042221,"All",20,2014
"73",2014-05-27,240.803030649255,"All",21,2014
"74",2014-06-03,237.998089777677,"All",22,2014
"75",2014-06-10,276.898487791063,"All",23,2014
"76",2014-06-17,242.579970719871,"All",24,2014
"77",2014-06-24,215.85743107873,"All",25,2014
"78",2014-07-01,248.232287472503,"All",26,2014
"79",2014-07-08,247.268812617258,"All",27,2014
"80",2014-07-15,224.759517452057,"All",28,2014
"81",2014-07-22,238.850551976844,"All",29,2014
"82",2014-07-29,285.946146360671,"All",30,2014
"83",2014-08-05,277.560197857438,"All",31,2014
"84",2014-08-12,253.00548203466,"All",32,2014
"85",2014-08-19,275.974725315878,"All",33,2014
"86",2014-08-26,267.002322241184,"All",34,2014
"87",2014-09-02,280.721525077985,"All",35,2014
"88",2014-09-09,306.872510391488,"All",36,2014
"89",2014-09-16,267.919628691347,"All",37,2014
"90",2014-09-23,278.533522948081,"All",38,2014
"91",2014-09-30,281.564355318078,"All",39,2014
"92",2014-10-07,302.264449365615,"All",40,2014
"93",2014-10-14,299.229159172806,"All",41,2014
"94",2014-10-21,293.072558258031,"All",42,2014
"95",2014-10-28,282.052036366498,"All",43,2014
"96",2014-11-04,270.302386654985,"All",44,2014
"97",2014-11-11,285.997892232219,"All",45,2014
"98",2014-11-18,292.741029838882,"All",46,2014
"99",2014-11-25,296.040903864156,"All",47,2014
"100",2014-12-02,278.876695812367,"All",48,2014
"101",2014-12-09,286.006248746424,"All",49,2014
"102",2014-12-16,301.561866053249,"All",50,2014
"103",2014-12-23,223.116549431255,"All",51,2014
"104",2014-12-31,307.843491379001,"All",53,2014
"105",2015-01-07,367.895321467513,"All",1,2015
