"","Date","All","WeekNumber","Nation","Year","Female","Male"
"103",2014-12-23,1848855.12876712,51,"NI",2014,0,0
"104",2014-12-31,1849112.81643836,52,"NI",2014,0,0
"105",2015-01-07,1849338.29315069,1,"NI",2015,0,0
"106",2015-01-14,1849563.76986301,2,"NI",2015,0,0
"107",2015-01-21,1849789.24657534,3,"NI",2015,0,0
"108",2015-01-28,1850014.72328767,4,"NI",2015,0,0
"109",2015-02-04,1850240.2,5,"NI",2015,0,0
"110",2015-02-11,1850465.67671233,6,"NI",2015,0,0
"111",2015-02-18,1850691.15342466,7,"NI",2015,0,0
"112",2015-02-25,1850916.63013699,8,"NI",2015,0,0
"113",2015-03-04,1851142.10684932,9,"NI",2015,0,0
"114",2015-03-11,1851367.58356164,10,"NI",2015,0,0
"115",2015-03-18,1851593.06027397,11,"NI",2015,0,0
"116",2015-03-25,1851818.5369863,12,"NI",2015,0,0
"117",2015-04-01,1852044.01369863,13,"NI",2015,0,0
"118",2015-04-08,1852269.49041096,14,"NI",2015,0,0
"119",2015-04-15,1852494.96712329,15,"NI",2015,0,0
"120",2015-04-22,1852720.44383562,16,"NI",2015,0,0
"121",2015-04-29,1852945.92054795,17,"NI",2015,0,0
"122",2015-05-06,1853171.39726027,18,"NI",2015,0,0
"123",2015-05-13,1853396.8739726,19,"NI",2015,0,0
"124",2015-05-20,1853622.35068493,20,"NI",2015,0,0
"125",2015-05-27,1853847.82739726,21,"NI",2015,0,0
"126",2015-06-03,1854073.30410959,22,"NI",2015,0,0
"127",2015-06-10,1854298.78082192,23,"NI",2015,0,0
"128",2015-06-17,1854524.25753425,24,"NI",2015,0,0
"129",2015-06-24,1854749.73424658,25,"NI",2015,0,0
"130",2015-07-01,1854973.32513661,26,"NI",2015,0,0
"131",2015-07-08,1855185.6010929,27,"NI",2015,0,0
"132",2015-07-15,1855397.87704918,28,"NI",2015,0,0
"133",2015-07-22,1855610.15300546,29,"NI",2015,0,0
"134",2015-07-29,1855822.42896175,30,"NI",2015,0,0
"135",2015-08-05,1856034.70491803,31,"NI",2015,0,0
"136",2015-08-12,1856246.98087432,32,"NI",2015,0,0
"137",2015-08-19,1856459.2568306,33,"NI",2015,0,0
"138",2015-08-26,1856671.53278689,34,"NI",2015,0,0
"139",2015-09-02,1856883.80874317,35,"NI",2015,0,0
"140",2015-09-09,1857096.08469945,36,"NI",2015,0,0
"141",2015-09-16,1857308.36065574,37,"NI",2015,0,0
"142",2015-09-23,1857520.63661202,38,"NI",2015,0,0
"143",2015-09-30,1857732.91256831,39,"NI",2015,0,0
"144",2015-10-07,1857945.18852459,40,"NI",2015,0,0
"145",2015-10-14,1858157.46448087,41,"NI",2015,0,0
"146",2015-10-21,1858369.74043716,42,"NI",2015,0,0
"147",2015-10-28,1858582.01639344,43,"NI",2015,0,0
